PRODUCT NAME,Category,MRP Incl. GST,MRP Ex. GST,HSN CODE,TYPRE
SP DIA LUXE K-R TRM 400ML  ,System Professional,"₹ 3,100.00","₹ 2,627.12",33059090,BTL-BOTTLES
SP DIA LUXE K-P SHP 1000ML ,System Professional,"₹ 2,800.00","₹ 2,372.88",33051090,BTL-BOTTLES
SP DIA LUXE KERA SHMP 250ML ,System Professional,"₹ 2,100.00","₹ 1,779.66",33051090,BTL-BOTTLES
KP ME+ 6/41 DARK BLND RED ASH 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
SEB HYDRE SHMP 250ML ,Sebastain,"₹ 1,950.00","₹ 1,652.54",33051090,BTL-BOTTLES
BLONDORPLEX TONER/36 CRYSTAL VANILLA 60ML,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
BLONDORPLEX TONER /81 PALE SILVER 60ML,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
WP DUO ENERGY OIL 100ML,Wella Professional,"₹ 1,750.00","₹ 1,483.05",33051090,BTL-BOTTLES
SP DIA SMOOTHEN MSK 400ML,System Professional,"₹ 3,200.00","₹ 2,711.86",33059090,CAN-CANS
WELLAPLEX STEP 2 500ML,Wella Professional,"₹ 2,700.00","₹ 2,288.14",33059090,CAN-CANS
SP DIA HYDRATE MSK 400ML,System Professional,"₹ 3,200.00","₹ 2,711.86",33059090,CAN-CANS
SP DIA LUXE OIL 100 ML,System Professional,"₹ 3,500.00","₹ 2,966.10",33059050,BTL-BOTTLES
KP ME+ 7/3 MEDIUM BLND GOLD 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
SP DIA LUXEBLOND SHAMPOO 250ML,System Professional,"₹ 1,950.00","₹ 1,652.54",33051090,BTL-BOTTLES
SP DIA LUXEBLOND BIPHASE UV & HEAT PRO ,System Professional,"₹ 2,500.00","₹ 2,118.64",33059090,BTL-BOTTLES
SP DIA LUXEBLOND MASK 400ML,System Professional,"₹ 3,100.00","₹ 2,627.12",33059090,CAN-CANS
SP DIA LUXEBLOND MASK 200ML,System Professional,"₹ 2,900.00","₹ 2,457.63",33059090,CAN-CANS
SP DIA LUXEBLOND SHAMPOO 1L,System Professional,"₹ 2,500.00","₹ 2,118.64",33051090,BTL-BOTTLES
SP DIA LUXEBLOND EMULSION 50ML,System Professional,₹ 530.00,₹ 449.15,33059090,BTL-BOTTLES
SP DIA BAL SHP 250ML,System Professional,"₹ 2,250.00","₹ 1,906.78",33051090,BTL-BOTTLES
KP ME+ 7/77 BROWN INT 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 55/46 INT RED VLT 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 6/77 DARK BLND BRWN INT 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
SEB SHAPER ZERO GRAV. 400ML ,Sebastain,"₹ 2,100.00","₹ 1,779.66",33059050,BTL-BOTTLES
SP DIA BAL MSK 400ML,System Professional,"₹ 3,200.00","₹ 2,711.86",33059090,CAN-CANS
SP DIA LUXE KERA MASK 200ML,System Professional,"₹ 3,150.00","₹ 2,669.49",33059090,CAN-CANS
SEB CRAFT CLAY REMOLD 50G ,Sebastain,"₹ 2,100.00","₹ 1,779.66",33051090,CAN-CANS
KP ME+ 10/1 LIGHTEST LIND ASH 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WP FUSION SHP 250ML,Wella Professional,"₹ 1,150.00",₹ 974.58,33051090,BTL-BOTTLES
ELEMENTS 2.0 SHMPOO 1000ML,Wella Professional,"₹ 2,300.00","₹ 1,949.15",33051090,BTL-BOTTLES
SEB MOUSSE FORT/STRONG 200ML,Sebastain,"₹ 1,800.00","₹ 1,525.42",33059050,BTL-BOTTLES
KP ME+ 8/2 MATT LIGHT BLND 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
SEB CRAFT CLAY REMOLD 50G,Sebastain,"₹ 2,150.00","₹ 1,822.03",33059050,CAN-CANS
WP OIL REF SHP 250ML,Wella Professional,"₹ 1,150.00",₹ 974.58,33051090,BTL-BOTTLES
KP 33/0 DARK BRWN INT 60G ,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
KP 8/34 Light blnd gldn red 60g ,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
KP 8/2 MATT LIGHT BLND 60G,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
KP 7/77 BROWN INT 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 8/71 LIGHT BLND BRWN ASH 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP ME+ 9/38 RICH NATURAL 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WP ULTIME REPAIR REPAIRING DAILY COND 150ML,Wella Professional,"₹ 1,600.00","₹ 1,355.93",33059090,TUB-TUBES
SP DIA HYDRATE SHP 250ML,System Professional,"₹ 2,100.00","₹ 1,779.66",33051090,BTL-BOTTLES
KP ME+ 9/73 GOLDEN BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
